prompt,script
What is the bash script that outputs the Julian Day Number of the date given as an argument in yyyy-mm-dd format?,"#!/bin/bash
#
# Write a bash script to output the Julian Day Number of its argument which is in yyyy-mm-dd format.
#
# -4712 January 1
# 1582-oct-5 thru 1582-oct-14 are missing
#
# JDN = (1461 × (Y + 4800 + (M − 14)/12))/4 + (367 × (M − 2 − 12 × ((M − 14)/12)))/12 − (3 × ((Y + 4900 + (M - 14)/12)/100))/4 + D − 32075
#
# 153 comes from starting in March and lumping 5 months together: 31+30+31+30+31
# 1461 comes from four-year leap-cycle: 4*365+1
#
# JDN =
#   (1461 * (Y + 4800 + (M − 14)/12))/4 +
#   (367 * (M − 2 − 12 * ((M − 14)/12)))/12 −
#   (3 * ((Y + 4900 + (M - 14)/12)/100))/4 +
#   D − 32075
#
#   A = (M-14)/12  produces -1 for Jan and Feb; zero otherwise
#
#          A  M-2-12*A  367*B/12
#   Jan   -1    11        336 31
#   Feb   -1    12        367 31
#   Mar    0     1         30
#   Apr    0     2         61 31
#   May    0     3         91 30
#   Jun    0     4        122 31
#   Jul    0     5        152 30
#   Aug    0     6        183 31
#   Sep    0     7        214 31
#   Oct    0     8        244 30
#   Nov    0     9        275 31
#   Dec    0    10        305 30
#
# JDN =
#   (1461 * (Y+A + 4800))/4 +      leap-year cycles times days in leap-year cycle
#   (367 * (M − 2 − 12*A))/12 −    days from 1-Mar to date
#   (3 * ((Y+A + 4900)/100))/4 +   Gregory's leap-century adjustment every 400 years?
#   D − 32075                      day of the month minus serious adjustment
#
#
# 2000-02-29 2451604 *
# 2016-02-29 2457448 *
# 2024-06-14 2460476 *
# 1582-10-15 2299161 *
#

jdn() {
    local Y=$1
    local M=$2
    local D=$3
    echo $(( (1461 * (Y + 4800 + (M - 14)/12))/4 + (367 * (M - 2 - 12 * ((M - 14)/12)))/12 - (3 * ((Y + 4900 + (M - 14)/12)/100))/4 + D - 32075 ))
}

# This one is sometimes high by one day
kdn() {
    local Y=$1
    local M=$2
    local D=$3
    A=$(( Y / 100 ))
    B=$(( A / 4 ))
    C=$(( 2 - A + B ))
    E=$(( 365*(Y+4716) + (Y+4716)/4 ))       # 365.25 * (Y+4716)
    F=$(( 30*(M+1) + 6001*(M+1)/10000 ))     # 30.6001*(M+1)
    echo $(( C + D + E + F - 1524 -1 ))
}

ldn() {
    local Y=$1
    local M=$2
    local D=$3
    echo $(( D + (153*M+2)/5 +365*Y + Y/4 - Y/100 + Y/400 - 32045 ))
}

if [ $# -ne 1 ]; then
    echo ""Usage: $0 yyyy-mm-dd""
    exit 1
fi

if ! [[ $1 =~ ^[0-9]{4}-(0[1-9]|1[0-2])-(0[1-9]|[1-2][0-9]|3[0-1])$ ]]; then
    echo ""Invalid date format: $1""
    exit 1
fi

IFS='-' read -r y m d <<< ""$1""
jdn $y $m $d

#kdn $(( y - 1 )) $(( m + 12 )) $d"
What is the bash script which outputs the ordinal date (yyddd) for the date given as an argument in yyyy-mm-dd format?,"#!/bin/bash
#
# Write a bash script which outputs the ordinal date (yyddd) for its command line argument given as yyyy-mm-dd.
#
# Ordinal date
#

if [[ $# -ne 1 ]]; then
    echo ""Usage: $0 yyyy-mm-dd""
    exit 1
fi

date=$1

if ! date -d ""$date"" > /dev/null 2>&1; then
    echo ""Invalid date""
    exit 1
fi

ordinal_date=$(date -d ""$date"" +%y%j)
echo ""$ordinal_date"""
What is the bash script which outputs the prime factors of its input argument?,"#!/bin/bash

function is_prime() {
    local num=$1
    local i
    if (( num < 2 )); then
        return 1
    fi
    for (( i=2; i*i <= num; i++ ))
    do
        if (( num % i == 0 ))
        then
            return 1
        fi
    done
    return 0
}

function prime_factors() {
    local num=$1
    local i=2
    while (( i*i <= num ))
    do
        if is_prime $i
        then
            while (( num % i == 0 ))
            do
                echo $i
                num=$(( num / i ))
            done
        fi
        (( i++ ))
    done

    if (( num > 1 ))
    then
        echo $num
    fi
}

if (( $# != 1 ))
then
    echo ""Usage: $0 <positive integer>""
    exit 1
fi

if ! [[ $1 =~ ^[0-9]+$ ]]
then
    echo ""Error: argument must be a positive integer""
    exit 1
fi

prime_factors $1"
What is the bash script which finds all the prime Fibonacci numbers that are less than its input argument?,"#!/bin/bash

function is_prime {
    local n=$1
    local i=2

    if (( n < 2 ))
    then
        return 1
    fi

    while (( i*i <= n ))
    do
        if (( n % i == 0 ))
        then
            return 1
        fi
        i=$(( i + 1 ))
    done

    return 0
}


limit=$1
f0=0
f1=1

while (( (f0+f1) < limit ))
do
    f=$(( f0 + f1 ))
    if is_prime $f
    then
        echo $f
    fi
    f0=$f1
    f1=$f
done"
"What is the bash script that outputs ""true"" if the number given as its argument is a palindrome; otherwise, it outputs ""false""?","#!/bin/bash

# Check if the number is a palindrome
is_palindrome() {
    local num=$1
    local reverse=0
    local temp=$num

    while [ $temp -gt 0 ]; do
        local digit=$((temp % 10))
        reverse=$((reverse * 10 + digit))
        temp=$((temp / 10))
    done

    if [ $num -eq $reverse ]; then
        return 0
    else
        return 1
    fi
}

# Check if the argument is provided
if [ -z ""$1"" ]; then
    echo ""Please provide a number as an argument.""
    exit 1
fi

# Check if the argument is a number
if ! [[ $1 =~ ^[0-9]+$ ]]; then
    echo ""The argument must be a number.""
    exit 1
fi

# Call the is_palindrome function
is_palindrome $1

# Check the exit status of the function
if [ $? -eq 0 ]; then
    echo ""The number is a palindrome.""
    exit 0
else
    echo ""The number is not a palindrome.""
    exit 1
fi"
What is the bash script that finds the first palindromic prime greater than its argument?,"#!/bin/bash

is_prime() {
    local num=$1
    local i
    if (( num <= 1 ))
    then
        return 1
    fi

    for(( i=2; i*i<=num; i++ ))
    do
        if(( num % i == 0 ))
        then
            return 1
        fi
    done
    return 0
}

reverse_number() {
    local num=$1
    local r=0
    while (( $num > 0 ))
    do
        r=$(( $r * 10 + $num % 10 ))
        num=$(( $num/10 ))
    done
    echo $r
}

n=$1
for(( i=n+1; ; i++ ))
do
    if is_prime $i
    then
        #echo Trying $i
        r=$(reverse_number $i)
        #echo Reversed $r
        if (( $i == $r ))
        then
            echo ""First palindromic prime greater than $n: $i""
            break
        fi
    fi
done"
What is the bash script that outputs the first n perfect numbers where n is the argument to the script?,"#!/bin/bash
#
# sum of the factors equals the number
#  - ALL factors
#  - factor doesn't have to be prime
#  - 28 = 1 + 2 + 4 + 7 + 14
#
count=$1
num=1
sum=0

# if it divides, it adds
while(( count > 0 ))
do
    for (( i=1; i<=num/2; i++ ))
    do
        if (( num % i == 0 ))
        then
            sum=$((sum+i))
            if (( sum > num ))
            then
                break
            fi
        fi
    done

    if (( sum == num ))
    then
        echo ""Perfect number: $num""
        count=$((count-1))
    fi

    sum=0
    num=$((num+1))
done"
What is the bash script that finds the first perfect number greater than its input argument?,"#!/bin/bash

# Function to check if a number is perfect
is_perfect() {
    local sum=0
    local n=$1
    local i
    for (( i=1; i<=n/2; i++ ))
    do
        if (( n % i == 0 ))
        then
            sum=$(( sum + i ))
            if (( sum > n ))
            then
                return 1
            fi
        fi
    done
    (( sum == n ))
}

# Check if the argument is a positive integer
if ! [[ $1 =~ ^[1-9][0-9]*$ ]]; then
    echo ""Usage: $0 <positive integer>""
    exit 1
fi


# Loop until we find a perfect number
for (( i=$1+1; ; i++ ))
do
    # Check if the current number is perfect
    if $(is_perfect $i)
    then
        break
    fi
done

# Print the perfect numbers
echo ""The first perfect number greater than $1 is $i"""
What is the bash script which outputs each base between 2 and 16 where its input argument is a palindrome when expressed in that base?,"#!/bin/bash
#
# ./bash.sh 121
# 3: 11111  11111
# 7: 232  232
# 8: 171  171
# 10: 121  121
#
# ./bash.sh 1911
# 2: 11101110111  11101110111
# 16: 777  777
#
# ./bash.sh 1991
# 10: 1991  1991
# 16: 7C7  7C7
#
# ./bash.sh 1913
# 3: 2121212  2121212
# 14: 9A9  9A9
# 15: 878  878
#
# ./bash.sh 1921
# 6: 12521  12521
#

# Function to convert a number to a given base
function convert_to_base() {
    local num=$1
    local base=$2
    local digits=""0123456789ABCDEF""
    local out=""""

    while [ $num -gt 0 ]; do
        local rem=$(( $num % $base ))
        out=""${digits:$rem:1}$out""
        num=$(( $num / $base ))
    done

    echo ""$out""
}

# Function to check if a number is a palindrome in a given base
function is_palindrome() {
    local num=$1
    local base=$2
    local digits=""0123456789ABCDEF""

    local num_str=$(convert_to_base ""$num"" ""$base"")
    local len=${#num_str}

    for (( i = 0; i < len / 2; i++ )); do
        if [ ""${num_str:$i:1}"" != ""${num_str:$(( len - i - 1 )):1}"" ]; then
            return 1
        fi
    done

    return 0
}

# Check if the input argument is a positive integer
if ! [[ $1 =~ ^[0-9]+$ ]] || [ $1 -lt 0 ]; then
    echo ""Error: Input argument must be a positive integer.""
    exit 1
fi

# Check each base from 2 to 16
for base in $(seq 2 16); do
    # Check if the number is a palindrome in this base
    if is_palindrome ""$1"" ""$base""; then
        # Convert the number to this base and print the result
        converted=$(convert_to_base ""$1"" ""$base"")
        #echo ""$base: $converted "" $(echo ""obase=$base; ibase=10; $1"" | bc)
        echo ""$base: $converted""
    fi
done"
"What is the bash script that finds the first number greater than its argument which is a palindrome in base 2, base 8, and base 16?","#!/bin/bash

# Function to check if a number is a palindrome in a given base
is_palindrome() {
    local n=$1
    local r

    r=$(echo $n | rev)
    if [ ""$n"" == ""$r"" ]
    then
        return 0
    else
        return 1
    fi
}

# Find the first number which is a palindrome in base 2, base 8, and base 16
for (( num=$1; ; num++ ))
do
    # Check if the number is a palindrome in base 2
    b2=$(echo ""obase=2; ibase=10; $num"" | bc)
    if $(is_palindrome $b2)
    then
        # Check if the number is a palindrome in base 8
        b8=$(echo ""obase=8; ibase=10; $num"" | bc)
        if $(is_palindrome $b8)
        then
            # Check if the number is a palindrome in base 16
            b16=$(echo ""obase=16; ibase=10; $num"" | bc)
            if $(is_palindrome $b16)
            then
                echo ""The first number which is a palindrome in base 2, base 8, and base 16 is $num""
                echo ""base2:  $b2""
                echo ""base8:  $b8""
                echo ""base16: $b16""
                break
            fi
        fi
    fi
done"
What is the bash script that counts the number of palindromic prime numbers less than its argument?,"#!/bin/bash

function is_prime {
    local n=$1
    local i

    if (( n == 2 ))
    then
        return 0
    fi

    if (( n < 2  ||  n % 2 == 0 ))
    then
        return 1
    fi

    for(( i=3; i*i<=n; i+=2 ))
    do
        if (( n % i == 0 ))
        then
            return 1
        fi
    done

    return 0
}

function is_palindromic() {
    local n=$1
    local r=$(echo $n | rev)
    (( n == r ))
}


limit=$1
count=0
for(( n=2; n<limit; n++ ))
do
    if is_prime $n
    then
        if is_palindromic $n
        then
            #echo >&2 $n
            count=$((count+1))
        fi
    fi
done
echo $count"
What is the bash script which finds a palindrome less than its argument that is the product of three consecutive prime numbers?,"#!/bin/bash
#
# 1001 is the product of 7, 11, 13
#

# Function to check if a number is prime
is_prime() {
    local n=$1
    local i
    if (( n < 2 ))
    then
        return 1
    fi
    for (( i=2; i*i <= n; i++ ))
    do
        if (( n % i == 0 ))
        then
            return 1
        fi
    done
    return 0
}

# Function to check if a number is palindrome
is_palindrome() {
    local n=$1
    local r=$(echo $n | rev)
    (( n == r ))
}

# Initialize variables
p1=2
p2=3
p3=3
limit=$1

# Loop through consecutive prime numbers
for(( p3=p3+2; p1*p2*p3 < limit; p3=p3+2 ))
do
    if ! is_prime $p3
    then
        continue
    fi

    product=$(( p1 * p2 * p3 ))

    # Check if the product is a palindrome
    if is_palindrome $product
    then
        echo $product is a palindrome and the product of $p1, $p2, and $p3
        break
    fi

    p1=$p2
    p2=$p3
done"
What is the bash script which counts all Fibonacci numbers less than its argument which are palindromes?,"#!/bin/bash
#
# 0,1,1,2,3,5,8,13,21,34,
#

is_palindrome() {
    local n=$1
    local r=$(echo $n | rev)
    (( n == r ))
}

# Initialize variables
fib0=0
fib1=1
fib=$fib0
count=0
limit=$1

# Loop until next is less than 100
while (( fib < limit ))
do
    # Check if next is a palindrome
    if is_palindrome $fib
    then
        echo $fib
        count=$((count + 1))
    fi

    # Update variables
    fib0=$fib1
    fib1=$fib
    fib=$(( fib0 + fib1 ))
done

# Print result
echo $count"
What is the bash script that finds the smallest number where the sum of its digits is equal to the argument to the script?,"#!/bin/bash

# Function to calculate sum of digits of a number
sum_of_digits() {
    local num=$1
    local sum=0
    while [ $num -gt 0 ]; do
        sum=$((sum + (num % 10)))
        num=$((num / 10))
    done
    echo $sum
}

# Function to find the smallest number
find_smallest() {
    local target=$1
    local num=0
    while true; do
        if [ $(sum_of_digits $num) -eq $target ]; then
            echo $num
            return
        fi
        num=$((num + 1))
    done
}

# Check if argument is provided
if [ $# -ne 1 ]; then
    echo ""Usage: $0 <target_sum>""
    exit 1
fi

# Call the function to find the smallest number
find_smallest $1"
What is the bash script which outputs the least common multiple of its two input arguments?,"#!/usr/bin/env bash

gcd() {
    local a=$1
    local b=$2
    while (( b ))
    do
        local t=$b
        b=$(( a % b ))
        a=$t
    done
    echo $a
}

lcm() {
    local a=$1
    local b=$2
    echo $(( (a * b) / $(gcd $a $b) ))
}

lcm $1 $2"
What is the bash script which finds all numbers less than its input argument that are equal to the sum of the factorial of each of its digits?,"#!/bin/bash
#
# A Krishnamurthy number is a number whose sum of the factorial of digits is equal
# to the number itself.
#
# For example, 145 is the sum of the factorial of each digit.
# 1! + 4! + 5! = 1 + 24 + 120 = 145
#

factorial() {
    local n=$1
    local result=1
    for (( i=2; i<=n; i++ )); do
        result=$(( result * i ))
    done
    echo $result
}

for (( i=1; i<200; i++ )); do
    sum=0
    number=$i
    while (( $number > 0 )); do
        digit=$(( $number % 10 ))
        sum=$(( sum + $(factorial $digit) ))
        number=$(( $number / 10 ))
    done
    if (( $i == $sum )); then
        echo -n $i"" ""
    fi
done
echo"
What is the bash script which finds two consecutive prime numbers less than its argument such that both their sum and product are palindromes?,"#!/bin/bash

is_prime() {
    local num=$1
    local i
    if (( num < 2 ))
    then
        return 1
    fi
    for(( i=2; i*i <= num; i++ ))
    do
        if (( num % i == 0 ))
        then
            return 1
        fi
    done
    return 0
}

is_palindrome() {
    local n=$1
    local r=$(echo $n | rev)
    if [ ""$n"" == ""$r"" ]
    then
        return 0
    else
        return 1
    fi
}

limit=$1
i=2
for(( j=3; j<limit; j+=2 ))
do
    if is_prime $j
    then
        sum=$(( i + j ))
        prod=$(( i * j ))
        if is_palindrome $sum && is_palindrome $prod
        then
            echo ""$i $j""
        fi
        i=$j
    fi
done"
What is the bash script that finds all circular primes between its two arguments?,"#!/bin/bash
#
# bash.sh 100 900
#

# Function to check if a number is prime
is_prime() {
    local n=$1
    local i
    if (( n == 2 ))
    then
        return 0
    fi
    if (( n < 2  ||  n % 2 == 0 ))
    then
        return 1
    fi
    for(( i=3; i*i<=n; i+=2 ))
    do
        if (( n % i == 0 ))
        then
            return 1
        fi
    done
    return 0
}

# Function to rotate the digits of a number
rotate() {
    local num=$1
    local last_digit=$(( num % 10 ))
    local rotated=$(( num / 10 ))
    #echo >&2 -n ""$num --> ""
    while (( rotated > 0 )); do
        rotated=$(( rotated / 10 ))
        last_digit=$(( last_digit * 10 ))
    done
    num=$(( last_digit + num / 10 ))
    #echo >&2 ""$num""
    echo $num
}

start=$1
limit=$2

# Find all circular primes between 100 and 1000
for (( i=start; i<=limit; i++ ))
do
    if is_prime $i
    then
        is_circular_prime=1
        for (( r=$(rotate $i); r!=i; r=$(rotate $r) ))
        do
            if ! is_prime $r
            then
                is_circular_prime=0
                break
            fi
        done
        if (( is_circular_prime == 1 ))
        then
            echo $i
        fi
    fi
done"
"What is the bash script that tests the possible primality of its argument using Fermat's test implemented using a fast, modular exponentiation function and outputs true if it passes the test or false if it does not?","#!/bin/bash
#

# Function to calculate power
function mexp() {
    local b=$1
    local e=$2
    local m=$3
    local c=1

    #echo >&2 ""mexp $b^$e mod $m""

    # (a*b) % m = (a % m) * (b % m)
    # b^(2*e+1) % m = (b^(2*e) % m) * (b % m)
    # b^(2*e) % m = (b^2)^e % m = ((b^2) % m)^e
    while (( e > 0 ))
    do
        if (( e % 2 == 1 ))
        then
            c=$(( (c*b) % m ))
        fi
        e=$(( e/2 ))
        b=$(( (b*b) % m ))
    done

    echo $c
}


# Function to check primality using Fermat's primality test
fermat_test() {
    local n=$1
    local a
    local r
    for (( a=2; a<n-1; a++ ))
    do
        r=$(mexp $a $((n-1)) $n)
        if (( r != 1 ))
        then
            #echo >&2 ""mexp $a $((n-1)) $n --> $r""
            return 1
        fi
    done
    return 0
}

# Check if argument is provided
if [ -z ""$1"" ]
then
    echo ""Usage: $0 <number>""
    exit 1
fi

# Check if the number is greater than 1
if [ ""$1"" -le 1 ]
then
    echo ""Number should be greater than 1""
    exit 1
fi

# Perform Fermat's primality test
fermat_test $1

# Print result
if [ $? -eq 0 ]
then
    echo true  # probably prime
else
    echo false  # not prime
fi"
"What is the bash script that does fast, modular exponentiation where the first argument is the base, the second argument is the exponent and the third argument is the modulus?","#!/bin/bash

#
# Asking for c where c = b^e mod m
#

#
# (a * b) mod m = ( (a mod m)* (b mod m) ) mod m
#
function mexp() {
    local b=$1
    local e=$2
    local m=$3

    c=1

    while (( e > 0 ))
    do
        if (( e % 2 == 1 ))
        then
            c=$(( (b*c) % m ))
        fi
        e=$(( e/2 ))
        b=$(( (b*b) % m ))
    done

    echo $c
}

b=$1
e=$2
m=$3

c=$(mexp $b $e $m)
echo ""$c = $b^$e mod $m"""
What is the bash script which outputs all Carmichael numbers less than its argument?,"#!/bin/bash

function gcd() {
    local a=$1
    local b=$2
    while (( $a != $b ))
    do
        if (( $a > $b ))
        then
            a=$(( a - b ))
        else
            b=$(( b - a ))
        fi
    done
    echo $a
}

# Function to calculate power
function mexp() {
    local b=$1
    local e=$2
    local m=$3
    local c=1

    #echo >&2 ""mexp $b $e $m""

    # (a*b) mod m = (a mod m) * (b mod m)
    # b^(2*e+1) mod m = (b^(2*e) mod m) * (b mod m)
    while (( e > 0 ))
    do
        if (( e % 2 == 1 ))
        then
            c=$(( (b*c) % m ))
        fi
        e=$(( e/2 ))
        b=$(( (b*b) % m ))
    done

    echo $c
}

function is_prime {
    local n=$1
    local i

    if (( n == 2 ))
    then
        return 0
    fi

    if (( n < 2  ||  n % 2 == 0 ))
    then
        return 1
    fi

    for(( i=3; i*i<=n; i+=2 ))
    do
        if (( n % i == 0 ))
        then
            return 1
        fi
    done

    return 0
}


function is_carmichael() {
    local n=$1
    local a

    # weed out the primes
    if is_prime $n
    then
        #echo >&2 ""$n is prime""
        return 1
    fi

    for (( a=2; a<n; a++ ))
    do
        # no coprime requirement if using b^n) == b (mod n)
        local r=$(mexp $a $n $n)
        if (( r != a ))
        then
            #echo >&2 ""fail: mexp $a $n $n --> $r""
            return 1
        fi
    done
    return 0
}

function carmichael_test() {
    local n=$1
    local a
    for (( a=2; a<n; a++ ))
    do
        # a and n must be coprime if using b^(n-1) == 1 (mod n)
        if (( $(gcd $a $n) == 1 ))
        then
            local r=$(mexp $a $((n-1)) $n)
            if (( r % n != 1 ))
            then
                echo >&2 ""fail: mexp $a $n $n --> $r""
                return 1
            fi
        fi
    done
    return 0
}

# Check if argument is provided
if [ -z ""$1"" ]
then
    echo ""Usage: $0 <number>""
    exit 1
fi

# Check if the number is greater than 1
if [ ""$1"" -le 1 ]
then
    echo ""Number should be greater than 1""
    exit 1
fi

for(( n=3; n<$1; n+=2 ))
do
    if is_carmichael $n
    then
        echo ""$n is a Carmichael number""
    fi
done"
"What is the bash script which outputs ""prime"" if its argument is a prime number, ""carmichael"" if it is a Carmichael number (using modular exponentiation) or ""composite"" if it is a composite number?","#!/bin/bash

function gcd() {
    local a=$1
    local b=$2
    while (( $a != $b ))
    do
        if (( $a > $b ))
        then
            a=$(( a - b ))
        else
            b=$(( b - a ))
        fi
    done
    echo $a
}

# Function to calculate modular power
function mexp() {
    local b=$1
    local e=$2
    local m=$3
    local c=1

    #echo >&2 ""mexp $b $e $m""

    # (a*b) mod m = (a mod m) * (b mod m)
    # b^(2*e+1) mod m = (b^(2*e) mod m) * (b mod m)
    while (( e > 0 ))
    do
        if (( e % 2 == 1 ))
        then
            c=$(( (b*c) % m ))
        fi
        e=$(( e/2 ))
        b=$(( (b*b) % m ))
    done

    echo $c
}

# Function to check if a number is prime
is_prime() {
    local num=$1
    if (( num <= 1 )); then
        return 1
    fi
    for (( i=2; i*i<=num; i++ ))
    do
        if (( num % i == 0 )); then
            return 1
        fi
    done
    return 0
}

# Function to check if a number is a Carmichael number
is_carmichael() {
    local n=$1
    local b
    for (( b=2; b<n; b++ ))
    do
        # Check if n is coprime to base b
        if (( $(gcd $b $n) == 1 ))
        then
            if (( $(mexp $b $((n-1)) $n) != 1 ))
            then
                return 1
            fi
        fi
    done
    return 0
}


# Check if the argument is a prime number, a Carmichael number or a composite number
num=$1
if is_prime $num; then
    echo ""Prime""
    exit 0
elif is_carmichael $num; then
    echo ""Carmichael""
    exit 0
else
    echo ""Composite""
    exit 1
fi"
"What is the bash script which outputs ""true"" if its first argument is a Fermat pseudoprime with respect to the base value given as its second argument; otherwise it outputs ""false""?","#!/bin/bash

function gcd() {
    local a=$1
    local b=$2
    while (( $a != $b ))
    do
        if (( $a > $b ))
        then
            a=$(( a - b ))
        else
            b=$(( b - a ))
        fi
    done
    echo $a
}

# Function to calculate power
function mexp() {
    local b=$1
    local e=$2
    local m=$3
    local c=1

    #echo >&2 ""mexp $b $e $m""

    # (a*b) mod m = (a mod m) * (b mod m)
    # b^(2*e+1) mod m = (b^(2*e) mod m) * (b mod m)
    while (( e > 0 ))
    do
        if (( e % 2 == 1 ))
        then
            c=$(( (b*c) % m ))
        fi
        e=$(( e/2 ))
        b=$(( (b*b) % m ))
    done

    echo $c
}

function is_prime {
    local n=$1
    local i

    if (( n == 2 ))
    then
        return 0
    fi

    if (( n < 2  ||  n % 2 == 0 ))
    then
        #echo >&2 ""is_prime(fail) mod 2""
        return 1
    fi

    for(( i=3; i*i<=n; i+=2 ))
    do
        if (( n % i == 0 ))
        then
            #echo >&2 ""is_prime(fail) mod $i""
            return 1
        fi
    done

    return 0
}


function is_pseudoprime() {
    local n=$1
    local b=$2

    # We're not looking for primes, only pseudoprimes
    if is_prime $n
    then
        #echo >&2 ""fail: is $n prime""
        return 1
    fi

    # Fermat's test
    local r=$(mexp $b $((n-1)) $n)
    if (( r % n != 1 ))
    #if (( r != 1 ))
    then
        #echo >&2 ""fail: mexp $b $((n-1)) $n --> $r""
        return 1
    fi

    #echo >&2 ""PASS: mexp $b $((n-1)) $n --> $r""
    return 0
}

# Check if argument is provided
if [ -z ""$1"" ]
then
    echo ""Usage: $0 <base>""
    exit 1
fi

# Check if the number is greater than 1
if [ ""$1"" -le 1 ]
then
    echo ""Number should be greater than 1""
    exit 1
fi

n=$1
base=$2

if is_pseudoprime $n $base
then
    echo true
else
    echo false
fi"
What is the bash script which evaluates Euler's totient function for the nth Fibonacci number where n is given as the argument to the script?,"#!/bin/bash
#
# phi(n) = n * (1 - 1/p1) * (1 - 1/p2) * ... * (1 - 1/pk)
#      n = p1 * p2 * p3 * ... * pk
#        = (p1 * p2 * p3 * ... * pk) * (1 - 1/p1) * (1 - 1/p2) * ... * (1 - 1/pk)
#        = (n/(p1*p2*...*pk)) * (p1 - 1) * (p2 - 1) * ... (pk - 1)
#
# phi(12) = 12 * (1 - 1/2) * (1 - 1/3) = 12 * 1/2 * 2/3 = 4
#         = 2 * (2*3) * (1 - 1/2) * (1 - 1/3)
#         = 2 * (2-1) * (3-1)
#         = 2 * 1 * 2 = 4
#


# Function to compute the greatest common divisor of $a$ and $b$
function gcd() {
    local a=$1
    local b=$2
    while (( $a != $b ))
    do
        if (( $a > $b ))
        then
            a=$(( a - b ))
        else
            b=$(( b - a ))
        fi
    done
    echo $a
}


# Function to compute Euler's totient function
phi() {
    local n=$1
    local result=0
    for (( i=1; i<=n; i++ ))
    do
        if (( $(gcd $i $n) == 1 ))
        then
            result=$(( result + 1 ))
        fi
    done
    echo $result
}

fib() {
    if [ ""$1"" -eq 0 ]; then
        echo 0
    elif [ ""$1"" -eq 1 ]; then
        echo 1
    else
        echo $(($(fib $(($1 - 1))) + $(fib $(($1 - 2)))))
    fi
}


#echo ""phi(9) is $(phi 9)""

n=$1
f=$(fib $n)
echo ""The $nth Fibonacci number is $f""
t=$(phi $f)
echo ""The totient of $f is $t"""
What is the bash script which finds all numbers from 10 to its argument which are palindromes in exactly three of the bases 2 thru 16?,"#!/bin/bash

# Function to check if a number is palindrome
is_palindrome() {
    local n=$1
    local r=$(echo ""$n"" | rev)
    #echo >&2 ""$n --- $r""
    [ ""$n"" == ""$r"" ]
}

# Function to find the number of bases in which a number is palindrome
num_bases() {
    local n=$1
    local count=0
    local base
    for(( base=2; base<=16; base++ ))
    do
        local m=$(echo ""obase=$base; $n"" | bc)
        #echo >&2 ""$n is $m in base $base""
        if is_palindrome $m
        then
            count=$((count+1))
        fi
    done
    echo $count
}

print_bases() {
    local n=$1
    local base
    for(( base=2; base<=16; base++ ))
    do
        local m=$(echo ""obase=$base; $n"" | bc)
        #echo >&2 ""$n is $m in base $base""
        if is_palindrome $m
        then
            echo -n "" $base($m)""
        fi
    done
}

# Main function
if [[ $# -ne 1 ]] || ! [[ $1 =~ ^[0-9]+$ ]]; then
    echo ""Usage: $0 <integer>""
    exit 1
fi

limit=$1
for(( n=10; n<=limit; n++ ))
do
    count=$(( $(num_bases $n) ))
    if [[ $count -eq 3 ]]
    then
        echo -n ""$n: ""
        print_bases $n
        echo
    fi
done"
